,precision,recall,f1-score,support
neutral,0.941677969385778,0.7688656858092074,0.8465424142135517,6321.0
surprise,0.5384615384615384,0.5338983050847458,0.5361702127659574,118.0
disgust,0.48484848484848486,0.3404255319148936,0.4,47.0
fear,0.23333333333333334,0.4117647058823529,0.2978723404255319,17.0
happy,0.4279661016949153,0.7929342492639843,0.5558995528035776,1019.0
anger,0.23553719008264462,0.5588235294117647,0.3313953488372093,102.0
sad,0.31226765799256506,0.7241379310344828,0.43636363636363634,116.0
accuracy,0.7616279069767442,0.7616279069767442,0.7616279069767442,0.7616279069767442
macro avg,0.4534417536856085,0.5901214197716331,0.4863205007727807,7740.0
weighted avg,0.8448300711657875,0.7616279069767442,0.7866936262072222,7740.0
